,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,brand,model,power_per_liter,km_per_year
0,2014,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,190.0,5,2000.0,Maruti,Swift,5.929487179487179e-05,13227.272727272728
1,2014,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,250.0,5,2500.0,Skoda,Rapid,6.910547396528704e-05,10909.09090909091
2,2010,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,219.66895999999997,5,2750.0,Hyundai,i20,6.446991404011462e-05,8466.666666666666
3,2007,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,112.77647499999999,5,3000.0,Maruti,Swift,6.79506933744222e-05,6666.666666666667
4,2017,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75,5,4000.0,Hyundai,Xcent,6.83876357560568e-05,5625.0
5,2007,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,76.49186999999999,5,3000.0,Maruti,Wagon,5.419415645617342e-05,9722.222222222223
6,2001,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59.0,4,2500.0,Maruti,800,4.648241206030151e-05,208.33333333333334
7,2011,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,170.0,5,2400.0,Toyota,Etios,4.919354838709677e-05,6428.571428571428
8,2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,160.0,5,2000.0,Ford,Figo,4.867762687634024e-05,14083.333333333334
9,2014,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,248.0,5,2250.0,Renault,Duster,7.42299794661191e-05,6181.818181818182
10,2005,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,78.0,5,4500.0,Maruti,Zen,6.0422960725075535e-05,5000.0
11,2009,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190.0,5,2000.0,Maruti,Swift,5.921474358974359e-05,8750.0
12,2007,80000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Maruti,Swift,6.559294871794872e-05,4444.444444444444
13,2009,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,84.0,5,3500.0,Maruti,Wagon,6.314797360980208e-05,5625.0
14,2016,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,115.0,5,3600.0,Mahindra,KUV,6.844741235392321e-05,4444.444444444444
15,2012,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,219.66895999999997,5,2750.0,Hyundai,i20,6.446991404011462e-05,4076.923076923077
16,2002,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,3000.0,Maruti,Alto,5.816582914572864e-05,3478.2608695652175
17,2016,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,2750.0,Hyundai,i20,6.356017191977077e-05,11111.111111111111
18,2011,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,160.0,5,2000.0,Mahindra,Verito,4.387405886379192e-05,7142.857142857143
19,2017,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,200.0,5,1750.0,Honda,WR-V,6.58210947930574e-05,6250.0
20,2015,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5,2000.0,Maruti,Swift,5.929487179487179e-05,4000.0
21,2012,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,200.0,5,1750.0,Maruti,SX4,7.115384615384616e-05,5538.461538461538
22,2016,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115.0,5,4000.0,Maruti,Baleno,6.94235588972431e-05,5000.0
23,2017,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,69.0,5,3500.0,Maruti,Alto,5.942211055276382e-05,3500.0
24,2013,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,172.5,7,1750.0,Chevrolet,Enjoy,5.913461538461538e-05,5833.333333333333
25,2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,84.0,5,3500.0,Maruti,Wagon,6.314797360980208e-05,7500.0
26,2018,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,59.0,8,2500.0,Maruti,Omni,4.296482412060302e-05,3571.4285714285716
27,2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,1750.0,Maruti,Vitara,7.091346153846153e-05,8750.0
28,2003,50000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,160.0,5,3000.0,Fiat,Palio,6.559294871794872e-05,2272.7272727272725
29,2012,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,59.820564999999995,5,3000.0,Maruti,Omni,4.396984924623116e-05,2692.3076923076924
30,2017,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,1750.0,Maruti,Vitara,7.091346153846153e-05,2025.0
31,2019,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,60.0,4,3500.0,Maruti,Alto,5.062814070351759e-05,1666.6666666666667
32,2019,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,90.0,5,3500.0,Maruti,Alto,6.723446893787574e-05,2500.0
33,2019,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151.0,5,4850.0,Hyundai,Verna,7.624135763670648e-05,833.3333333333334
34,2016,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,104.0,5,4000.0,Datsun,GO,5.5926544240400664e-05,4666.666666666667
35,2011,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,320.0,7,2700.0,Tata,Safari,6.334557136301056e-05,4285.714285714285
36,2012,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59.0,4,2500.0,Maruti,800,4.648241206030151e-05,5846.153846153846
37,2019,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,250.0,5,2500.0,Jeep,Compass,0.00011752192982456141,833.3333333333334
38,2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,145.0,5,4600.0,Honda,City,7.83567134268537e-05,4128.571428571428
39,2013,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,146.0,5,4800.0,Honda,City,7.768871075484302e-05,7191.666666666667
40,2018,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,200.0,5,1750.0,Maruti,Vitara,7.091346153846153e-05,4657.142857142857
41,2018,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,90.0,5,3500.0,Maruti,Alto,6.718436873747495e-05,1471.4285714285713
42,2014,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,343.0,7,3400.0,Toyota,Fortuner,5.650570087189805e-05,7000.0
43,2013,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,200.0,7,3400.0,Toyota,Innova,4.0096230954290296e-05,8250.0
44,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,200.0,5,4000.0,Mercedes-Benz,B,5.632291180587961e-05,2527.2727272727275
45,2015,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,200.0,5,1750.0,Honda,Amaze,6.58411214953271e-05,4980.0
46,2013,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,400.0,7,2500.0,Mitsubishi,Pajero,7.087605974969722e-05,12583.333333333334
47,2015,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,200.0,5,1750.0,Honda,City,6.58210947930574e-05,5470.0
48,2015,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,200.0,5,1750.0,Honda,Jazz,6.58210947930574e-05,6300.0
49,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,360.0,7,3400.0,Toyota,Innova,6.225045372050817e-05,14188.888888888889
50,2016,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,200.0,7,3600.0,Toyota,Innova,4.033680834001604e-05,11000.0
51,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,380.0,5,2500.0,Audi,A6,8.858231707317074e-05,2825.0
52,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,400.0,5,3000.0,Audi,A6,9.539634146341464e-05,4166.666666666667
